species	compartment	IC_Xinitialized	Annotation_ENSEMBL	Annotation_HGNC	Unnamed: 5
Sp_HE4E4	Cytoplasm	2.73e-41	ENSG00000136158 ENSG00000157168 ENSG00000178568	SPRY2 NRG1 ERBB4	
Sp_HE4HE4	Cytoplasm	0.0	ENSG00000136158 ENSG00000157168 ENSG00000178568	SPRY2 NRG1 ERBB4	
Sp_HGF_Met_Met	Cytoplasm	9.28e-15	ENSG00000136158 ENSG00000019991 ENSG00000105976	SPRY2 HGF MET	
Sp_HGF_Met_HGF_Met	Cytoplasm	1.75e-28	ENSG00000136158 ENSG00000019991 ENSG00000105976	SPRY2 HGF MET	
Sp_PPrPPr	Cytoplasm	0.0	ENSG00000136158 ENSG00000100311 ENSG00000134853 ENSG00000113721	SPRY2 PDGFB PDGFRA PDGFRB	
Sp_PPrPr	Cytoplasm	8.91e-26	ENSG00000136158 ENSG00000100311 ENSG00000134853 ENSG00000113721	SPRY2 PDGFB PDGFRA PDGFRB	
Sp_FFrFFr	Cytoplasm	2.2700000000000003e-31	ENSG00000136158 ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	SPRY2 FGF1 FGF2 FGFR1 FGFR2	
Sp_FFrFr	Cytoplasm	8.15e-18	ENSG00000136158 ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	SPRY2 FGF1 FGF2 FGFR1 FGFR2	
Sp_IIrIr	Cytoplasm	8.49e-21	ENSG00000136158 ENSG00000017427 ENSG00000167244 ENSG00000140443	SPRY2 IGF1 IGF2 IGF1R	
Sp_INS_Isr_Isr	Cytoplasm	1.13e-18	ENSG00000136158 ENSG00000254647 ENSG00000171105	SPRY2 INS INSR	
Sp_IIrIrI	Cytoplasm	1.48e-39	ENSG00000136158 ENSG00000017427 ENSG00000167244 ENSG00000140443	SPRY2 IGF1 IGF2 IGF1R IGF2R	
Sp_INS_Isr_Isr_INS	Cytoplasm	1.8400000000000002e-29	ENSG00000136158 ENSG00000254647 ENSG00000171105	SPRY2 INS INSR	
EE1E2int	Cytoplasm	7.14e-16	ENSG00000138798 ENSG00000146648 ENSG00000141736	EGF EGFR ERBB2	
EE1Ev3int	Cytoplasm	4.87e-26	ENSG00000138798 ENSG00000146648	EGF EGFR	
EE1E1int	Cytoplasm	2.47e-15	ENSG00000138798 ENSG00000146648	EGF EGFR	
EE1EE1int	Cytoplasm	0.0	ENSG00000138798 ENSG00000146648	EGF EGFR	
EE1E3int	Cytoplasm	3.24e-16	ENSG00000138798 ENSG00000146648 ENSG00000065361	EGF EGFR ERBB3	
EE1HE3int	Cytoplasm	1.69e-31	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361	EGF EGFR NRG1 ERBB3	
EE1E4int	Cytoplasm	1.02e-26	ENSG00000138798 ENSG00000146648 ENSG00000178568	EGF EGFR ERBB4	
EE1HE4int	Cytoplasm	3.11e-42	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568	EGF EGFR NRG1 ERBB4	
E2HE3int	Cytoplasm	2.08e-16	ENSG00000141736 ENSG00000157168 ENSG00000065361	ERBB2 NRG1 ERBB3	
HE3Ev3int	Cytoplasm	2.78e-27	ENSG00000157168 ENSG00000065361	NRG1 ERBB3	
E1HE3int	Cytoplasm	2.24e-14	ENSG00000146648 ENSG00000157168 ENSG00000065361	EGFR NRG1 ERBB3	
HE3E4int	Cytoplasm	1.86e-27	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4	
HE3HE4int	Cytoplasm	9.15e-43	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4	
E2HE4int	Cytoplasm	2.4799999999999998e-28	ENSG00000141736 ENSG00000157168 ENSG00000178568	ERBB2 NRG1 ERBB4	
HE4Ev3int	Cytoplasm	3.11e-39	ENSG00000157168 ENSG00000178568	NRG1 ERBB4	
E1HE4int	Cytoplasm	2.54e-26	ENSG00000146648 ENSG00000157168 ENSG00000178568	EGFR NRG1 ERBB4	
E3HE4int	Cytoplasm	7.68e-28	ENSG00000065361 ENSG00000157168 ENSG00000178568	ERBB3 NRG1 ERBB4	
HE4E4int	Cytoplasm	6.44e-40	ENSG00000157168 ENSG00000178568	NRG1 ERBB4	
HE4HE4int	Cytoplasm	0.0	ENSG00000157168 ENSG00000178568	NRG1 ERBB4	
HGF_Met_Metint	Cytoplasm	2.17e-13	ENSG00000019991 ENSG00000105976	HGF MET	
HGF_Met_HGF_Metint	Cytoplasm	1.98e-26	ENSG00000019991 ENSG00000105976	HGF MET	
PPrPPrint	Cytoplasm	0.0	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB	
PPrPrint	Cytoplasm	3.25e-24	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB	
FFrFFrint	Cytoplasm	6.34e-30	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2	
FFrFrint	Cytoplasm	1.91e-16	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2	
IIrIr_int	Cytoplasm	8.09e-19	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R	
INS_Isr_Isr_int	Cytoplasm	1.54e-16	ENSG00000254647 ENSG00000171105	INS INSR	
IIrIrI_int	Cytoplasm	3.5e-36	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R	
INS_Isr_Isr_INS_int	Cytoplasm	3.3e-25	ENSG00000254647 ENSG00000171105	INS INSR	
pEE1E2int	Cytoplasm	7.15e-16	ENSG00000138798 ENSG00000146648 ENSG00000141736	EGF EGFR ERBB2	
pEE1Ev3int	Cytoplasm	4.88e-26	ENSG00000138798 ENSG00000146648	EGF EGFR	
pEE1E1int	Cytoplasm	2.47e-15	ENSG00000138798 ENSG00000146648	EGF EGFR	
pEE1EE1int	Cytoplasm	0.0	ENSG00000138798 ENSG00000146648	EGF EGFR	
pEE1E3int	Cytoplasm	3.25e-16	ENSG00000138798 ENSG00000146648 ENSG00000065361	EGF EGFR ERBB3	
pEE1HE3int	Cytoplasm	1.69e-31	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361	EGF EGFR NRG1 ERBB3	
pEE1E4int	Cytoplasm	1.02e-26	ENSG00000138798 ENSG00000146648 ENSG00000178568	EGF EGFR ERBB4	
pEE1HE4int	Cytoplasm	3.11e-42	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568	EGF EGFR NRG1 ERBB4	
pE2HE3int	Cytoplasm	2.09e-16	ENSG00000141736 ENSG00000157168 ENSG00000065361	ERBB2 NRG1 ERBB3	
pHE3Ev3int	Cytoplasm	2.78e-27	ENSG00000157168 ENSG00000065361	NRG1 ERBB3	
pE1HE3int	Cytoplasm	2.25e-14	ENSG00000146648 ENSG00000157168 ENSG00000065361	EGFR NRG1 ERBB3	
pHE3E4int	Cytoplasm	1.86e-27	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4	
pHE3HE4int	Cytoplasm	9.170000000000001e-43	ENSG00000157168 ENSG00000065361 ENSG00000178568	NRG1 ERBB3 ERBB4	
pE2HE4int	Cytoplasm	2.4799999999999998e-28	ENSG00000141736 ENSG00000157168 ENSG00000178568	ERBB2 NRG1 ERBB4	
pHE4Ev3int	Cytoplasm	3.11e-39	ENSG00000157168 ENSG00000178568	NRG1 ERBB4	
pE1HE4int	Cytoplasm	2.54e-26	ENSG00000146648 ENSG00000157168 ENSG00000178568	EGFR NRG1 ERBB4	
pE3HE4int	Cytoplasm	7.6899999999999995e-28	ENSG00000065361 ENSG00000157168 ENSG00000178568	ERBB3 NRG1 ERBB4	
pHE4E4int	Cytoplasm	6.4499999999999996e-40	ENSG00000157168 ENSG00000178568	NRG1 ERBB4	
pHE4HE4int	Cytoplasm	0.0	ENSG00000157168 ENSG00000178568	NRG1 ERBB4	
pHGF_Met_Metint	Cytoplasm	2.18e-13	ENSG00000019991 ENSG00000105976	HGF MET	
pHGF_Met_HGF_Metint	Cytoplasm	1.99e-26	ENSG00000019991 ENSG00000105976	HGF MET	
pPPrPPrint	Cytoplasm	0.0	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB	
pPPrPrint	Cytoplasm	3.25e-24	ENSG00000100311 ENSG00000134853 ENSG00000113721	PDGFB PDGFRA PDGFRB	
pFFrFFrint	Cytoplasm	6.34e-30	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2	
pFFrFrint	Cytoplasm	1.91e-16	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468	FGF1 FGF2 FGFR1 FGFR2	
pIIrIr_int	Cytoplasm	8.09e-19	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R	
pINS_Isr_Isr_int	Cytoplasm	1.54e-16	ENSG00000254647 ENSG00000171105	INS INSR	
pIIrIrI_int	Cytoplasm	3.5e-36	ENSG00000017427 ENSG00000167244 ENSG00000140443	IGF1 IGF2 IGF1R	
pINS_Isr_Isr_INS_int	Cytoplasm	3.3e-25	ENSG00000254647 ENSG00000171105	INS INSR	
pIIrIr_int_IRS	Cytoplasm	6e-19	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000169047 ENSG00000185950	IGF1 IGF2 IGF1R IRS1 IRS2	
pINS_Isr_Isr_int_IRS	Cytoplasm	1.14e-16	ENSG00000254647 ENSG00000171105 ENSG00000169047 ENSG00000185950	INS INSR IRS1 IRS2	
pIIrIrI_int_IRS	Cytoplasm	2.62e-36	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000197081 ENSG00000169047 ENSG00000185950	IGF1 IGF2 IGF1R IGF2R IRS1 IRS2	
pINS_Isr_Isr_INS_int_IRS	Cytoplasm	2.47e-25	ENSG00000254647 ENSG00000171105 ENSG00000169047 ENSG00000185950	INS INSR IRS1 IRS2	
pEE1E2_G2_SOS	Cytoplasm	1.92e-19	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000177885 ENSG00000115904	EGF EGFR ERBB2 GRB2 SOS1	
pEE1Ev3_G2_SOS	Cytoplasm	1.0400000000000001e-29	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904	EGF EGFR GRB2 SOS1	
pEE1E1_G2_SOS	Cytoplasm	5.29e-19	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904	EGF EGFR GRB2 SOS1	
pEE1EE1_G2_SOS	Cytoplasm	0.0	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904	EGF EGFR GRB2 SOS1	
pEE1E3_G2_SOS	Cytoplasm	7.74e-20	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000177885 ENSG00000115904	EGF EGFR ERBB3 GRB2 SOS1	
pEE1HE3_G2_SOS	Cytoplasm	4.03e-35	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	EGF EGFR NRG1 ERBB3 GRB2 SOS1	
pEE1E4_G2_SOS	Cytoplasm	3.23e-30	ENSG00000138798 ENSG00000146648 ENSG00000178568 ENSG00000177885 ENSG00000115904	EGF EGFR ERBB4 GRB2 SOS1	
pEE1HE4_G2_SOS	Cytoplasm	1.1899999999999999e-45	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	EGF EGFR NRG1 ERBB4 GRB2 SOS1	
pE2HE3_G2_SOS	Cytoplasm	4.04e-19	ENSG00000141736 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	ERBB2 NRG1 ERBB3 GRB2 SOS1	
pHE3Ev3_G2_SOS	Cytoplasm	6.15e-30	ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	NRG1 ERBB3 GRB2 SOS1	
pE1HE3_G2_SOS	Cytoplasm	5.35e-18	ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	EGFR NRG1 ERBB3 GRB2 SOS1	
pHE3E4_G2_SOS	Cytoplasm	5.7099999999999994e-30	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB3 ERBB4 GRB2 SOS1	
pHE3HE4_G2_SOS	Cytoplasm	2.52e-45	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB3 ERBB4 GRB2 SOS1	
pE2HE4_G2_SOS	Cytoplasm	6.89e-31	ENSG00000141736 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	ERBB2 NRG1 ERBB4 GRB2 SOS1	
pHE4Ev3_G2_SOS	Cytoplasm	9.53e-42	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB4 GRB2 SOS1	
pE1HE4_G2_SOS	Cytoplasm	8.349999999999999e-30	ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	EGFR NRG1 ERBB4 GRB2 SOS1	
pE3HE4_G2_SOS	Cytoplasm	2.65e-30	ENSG00000065361 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	ERBB3 NRG1 ERBB4 GRB2 SOS1	
pHE4E4_G2_SOS	Cytoplasm	2.1499999999999997e-42	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB4 GRB2 SOS1	
pHE4HE4_G2_SOS	Cytoplasm	0.0	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB4 GRB2 SOS1	
pHGF_Met_Met_G2_SOS	Cytoplasm	1.2e-16	ENSG00000019991 ENSG00000105976 ENSG00000177885 ENSG00000115904	HGF MET GRB2 SOS1	
pHGF_Met_HGF_Met_G2_SOS	Cytoplasm	2.1e-30	ENSG00000019991 ENSG00000105976 ENSG00000177885 ENSG00000115904	HGF MET GRB2 SOS1	
pPPrPPr_G2_SOS	Cytoplasm	2.69e-34	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000177885 ENSG00000115904	PDGFB PDGFRA PDGFRB GRB2 SOS1	
pPPrPr_G2_SOS	Cytoplasm	4.84e-28	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000177885 ENSG00000115904	PDGFB PDGFRA PDGFRB GRB2 SOS1	
pFFrFFr_G2_SOS	Cytoplasm	8.71e-33	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000177885 ENSG00000115904	FGF1 FGF2 FGFR1 FGFR2 GRB2 SOS1	
pFFrFr_G2_SOS	Cytoplasm	4.22e-19	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000177885 ENSG00000115904	FGF1 FGF2 FGFR1 FGFR2 GRB2 SOS1	
pIIrIr_IRS_G2_SOS	Cytoplasm	2.01e-22	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000177885 ENSG00000115904	IGF1 IGF2 IGF1R GRB2 SOS1	
pINS_Isr_Isr_IRS_G2_SOS	Cytoplasm	3.71e-20	ENSG00000254647 ENSG00000171105 ENSG00000177885 ENSG00000115904	INS INSR GRB2 SOS1	
pIIrIrI_IRS_G2_SOS	Cytoplasm	3.49e-41	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000177885 ENSG00000115904	IGF1 IGF2 IGF1R GRB2 SOS1	
pINS_Isr_Isr_INS_IRS_G2_SOS	Cytoplasm	6.17e-31	ENSG00000254647 ENSG00000171105 ENSG00000177885 ENSG00000115904	INS INSR GRB2 SOS1	
pEE1E2int_G2_SOS	Cytoplasm	6.88e-19	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000177885 ENSG00000115904	EGF EGFR ERBB2 GRB2 SOS1	
pEE1Ev3int_G2_SOS	Cytoplasm	5.110000000000001e-29	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904	EGF EGFR GRB2 SOS1	
pEE1E1int_G2_SOS	Cytoplasm	2.64e-18	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904	EGF EGFR GRB2 SOS1	
pEE1EE1int_G2_SOS	Cytoplasm	0.0	ENSG00000138798 ENSG00000146648 ENSG00000177885 ENSG00000115904	EGF EGFR GRB2 SOS1	
pEE1E3int_G2_SOS	Cytoplasm	2.78e-19	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000177885 ENSG00000115904	EGF EGFR ERBB3 GRB2 SOS1	
pEE1HE3int_G2_SOS	Cytoplasm	1.4499999999999999e-34	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	EGF EGFR NRG1 ERBB3 GRB2 SOS1	
pEE1E4int_G2_SOS	Cytoplasm	1.1700000000000001e-29	ENSG00000138798 ENSG00000146648 ENSG00000178568 ENSG00000177885 ENSG00000115904	EGF EGFR ERBB4 GRB2 SOS1	
pEE1HE4int_G2_SOS	Cytoplasm	3.66e-45	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	EGF EGFR NRG1 ERBB4 GRB2 SOS1	
pE2HE3int_G2_SOS	Cytoplasm	1.56e-19	ENSG00000141736 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	ERBB2 NRG1 ERBB3 GRB2 SOS1	
pHE3Ev3int_G2_SOS	Cytoplasm	2.38e-30	ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	NRG1 ERBB3 GRB2 SOS1	
pE1HE3int_G2_SOS	Cytoplasm	1.92e-17	ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000177885 ENSG00000115904	EGFR NRG1 ERBB3 GRB2 SOS1	
pHE3E4int_G2_SOS	Cytoplasm	1.82e-30	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB3 ERBB4 GRB2 SOS1	
pHE3HE4int_G2_SOS	Cytoplasm	8.87e-46	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB3 ERBB4 GRB2 SOS1	
pE2HE4int_G2_SOS	Cytoplasm	2.6600000000000003e-31	ENSG00000141736 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	ERBB2 NRG1 ERBB4 GRB2 SOS1	
pHE4Ev3int_G2_SOS	Cytoplasm	3.6599999999999994e-42	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB4 GRB2 SOS1	
pE1HE4int_G2_SOS	Cytoplasm	3e-29	ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	EGFR NRG1 ERBB4 GRB2 SOS1	
pE3HE4int_G2_SOS	Cytoplasm	7.410000000000001e-31	ENSG00000065361 ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	ERBB3 NRG1 ERBB4 GRB2 SOS1	
pHE4E4int_G2_SOS	Cytoplasm	8.28e-43	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB4 GRB2 SOS1	
pHE4HE4int_G2_SOS	Cytoplasm	0.0	ENSG00000157168 ENSG00000178568 ENSG00000177885 ENSG00000115904	NRG1 ERBB4 GRB2 SOS1	
pHGF_Met_Metint_G2_SOS	Cytoplasm	4.65e-17	ENSG00000019991 ENSG00000105976 ENSG00000177885 ENSG00000115904	HGF MET GRB2 SOS1	
pHGF_Met_HGF_Metint_G2_SOS	Cytoplasm	1.3999999999999998e-29	ENSG00000019991 ENSG00000105976 ENSG00000177885 ENSG00000115904	HGF MET GRB2 SOS1	
pPPrPPrint_G2_SOS	Cytoplasm	0.0	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000177885 ENSG00000115904	PDGFB PDGFRA PDGFRB GRB2 SOS1	
pPPrPrint_G2_SOS	Cytoplasm	3.45e-28	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000177885 ENSG00000115904	PDGFB PDGFRA PDGFRB GRB2 SOS1	
pFFrFFrint_G2_SOS	Cytoplasm	5.52e-33	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000177885 ENSG00000115904	FGF1 FGF2 FGFR1 FGFR2 GRB2 SOS1	
pFFrFrint_G2_SOS	Cytoplasm	1.63e-19	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000177885 ENSG00000115904	FGF1 FGF2 FGFR1 FGFR2 GRB2 SOS1	
pIIrIr_int_IRS_G2_SOS	Cytoplasm	3.21e-22	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000177885 ENSG00000115904	IGF1 IGF2 IGF1R GRB2 SOS1	
pINS_Isr_Isr_int_IRS_G2_SOS	Cytoplasm	8.56e-20	ENSG00000254647 ENSG00000171105 ENSG00000177885 ENSG00000115904	INS INSR GRB2 SOS1	
pIIrIrI_int_IRS_G2_SOS	Cytoplasm	1.49e-39	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000177885 ENSG00000115904	IGF1 IGF2 IGF1R GRB2 SOS1	
pINS_Isr_Isr_INS_int_IRS_G2_SOS	Cytoplasm	1.83e-28	ENSG00000254647 ENSG00000171105 ENSG00000177885 ENSG00000115904	INS INSR GRB2 SOS1	
pEE1E2_PLCg	Cytoplasm	3.46e-18	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000124181 ENSG00000197943	EGF EGFR ERBB2 PLCG1 PLCG2	
pEE1Ev3_PLCg	Cytoplasm	8.51e-29	ENSG00000138798 ENSG00000146648 ENSG00000124181 ENSG00000197943	EGF EGFR PLCG1 PLCG2	
pEE1E1_PLCg	Cytoplasm	8.59e-18	ENSG00000138798 ENSG00000146648 ENSG00000124181 ENSG00000197943	EGF EGFR PLCG1 PLCG2	
pEE1EE1_PLCg	Cytoplasm	0.0	ENSG00000138798 ENSG00000146648 ENSG00000124181 ENSG00000197943	EGF EGFR PLCG1 PLCG2	
pEE1E3_PLCg	Cytoplasm	1.18e-18	ENSG00000138798 ENSG00000146648 ENSG00000065361 ENSG00000124181 ENSG00000197943	EGF EGFR ERBB3 PLCG1 PLCG2	
pEE1HE3_PLCg	Cytoplasm	6.14e-34	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000124181 ENSG00000197943	EGF EGFR NRG1 ERBB3 PLCG1 PLCG2	
pEE1E4_PLCg	Cytoplasm	6.04e-29	ENSG00000138798 ENSG00000146648 ENSG00000178568 ENSG00000124181 ENSG00000197943	EGF EGFR ERBB4 PLCG1 PLCG2	
pEE1HE4_PLCg	Cytoplasm	1.29e-44	ENSG00000138798 ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	EGF EGFR NRG1 ERBB4 PLCG1 PLCG2	
pE2HE3_PLCg	Cytoplasm	7.02e-18	ENSG00000141736 ENSG00000157168 ENSG00000065361 ENSG00000124181 ENSG00000197943	ERBB2 NRG1 ERBB3 PLCG1 PLCG2	
pHE3Ev3_PLCg	Cytoplasm	9.360000000000001e-29	ENSG00000157168 ENSG00000065361 ENSG00000124181 ENSG00000197943	NRG1 ERBB3 PLCG1 PLCG2	
pE1HE3_PLCg	Cytoplasm	8.14e-17	ENSG00000146648 ENSG00000157168 ENSG00000065361 ENSG00000124181 ENSG00000197943	EGFR NRG1 ERBB3 PLCG1 PLCG2	
pHE3E4_PLCg	Cytoplasm	4.8400000000000004e-29	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000124181 ENSG00000197943	NRG1 ERBB3 ERBB4 PLCG1 PLCG2	
pHE3HE4_PLCg	Cytoplasm	2.28e-44	ENSG00000157168 ENSG00000065361 ENSG00000178568 ENSG00000124181 ENSG00000197943	NRG1 ERBB3 ERBB4 PLCG1 PLCG2	
pE2HE4_PLCg	Cytoplasm	8.38e-30	ENSG00000141736 ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	ERBB2 NRG1 ERBB4 PLCG1 PLCG2	
pHE4Ev3_PLCg	Cytoplasm	1.06e-40	ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	NRG1 ERBB4 PLCG1 PLCG2	
pE1HE4_PLCg	Cytoplasm	9.640000000000001e-29	ENSG00000146648 ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	EGFR NRG1 ERBB4 PLCG1 PLCG2	
pE3HE4_PLCg	Cytoplasm	2.2700000000000002e-29	ENSG00000065361 ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	ERBB3 NRG1 ERBB4 PLCG1 PLCG2	
pHE4E4_PLCg	Cytoplasm	1.5e-41	ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	NRG1 ERBB4 PLCG1 PLCG2	
pHE4HE4_PLCg	Cytoplasm	0.0	ENSG00000157168 ENSG00000178568 ENSG00000124181 ENSG00000197943	NRG1 ERBB4 PLCG1 PLCG2	
pHGF_Met_Met_PLCg	Cytoplasm	9.76e-15	ENSG00000019991 ENSG00000105976 ENSG00000124181 ENSG00000197943	HGF MET PLCG1 PLCG2	
pHGF_Met_HGF_Met_PLCg	Cytoplasm	1.71e-28	ENSG00000019991 ENSG00000105976 ENSG00000124181 ENSG00000197943	HGF MET PLCG1 PLCG2	
pPPrPPr_PLCg	Cytoplasm	4.3100000000000003e-32	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000124181 ENSG00000197943	PDGFB PDGFRA PDGFRB PLCG1 PLCG2	
pPPrPr_PLCg	Cytoplasm	9.850000000000001e-26	ENSG00000100311 ENSG00000134853 ENSG00000113721 ENSG00000124181 ENSG00000197943	PDGFB PDGFRA PDGFRB PLCG1 PLCG2	
pFFrFFr_PLCg	Cytoplasm	1.55e-31	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000124181 ENSG00000197943	FGF1 FGF2 FGFR1 FGFR2 PLCG1 PLCG2	
pFFrFr_PLCg	Cytoplasm	1.29e-17	ENSG00000113578 ENSG00000138685 ENSG00000077782 ENSG00000066468 ENSG00000124181 ENSG00000197943	FGF1 FGF2 FGFR1 FGFR2 PLCG1 PLCG2	
pIIrIr_IRS_PLCg	Cytoplasm	2.4400000000000002e-21	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000124181 ENSG00000197943	IGF1 IGF2 IGF1R PLCG1 PLCG2	
pINS_Isr_Isr_IRS_PLCg	Cytoplasm	7.53e-19	ENSG00000254647 ENSG00000171105 ENSG00000124181 ENSG00000197943	INS INSR PLCG1 PLCG2	
pIIrIrI_IRS_PLCg	Cytoplasm	3.83e-40	ENSG00000017427 ENSG00000167244 ENSG00000140443 ENSG00000124181 ENSG00000197943	IGF1 IGF2 IGF1R PLCG1 PLCG2	
pINS_Isr_Isr_INS_IRS_PLCg	Cytoplasm	1.1800000000000001e-29	ENSG00000254647 ENSG00000171105 ENSG00000124181 ENSG00000197943	INS INSR PLCG1 PLCG2	
pEE1E2_PI3K1	Cytoplasm	2.28e-17	ENSG00000138798 ENSG00000146648 ENSG00000141736 ENSG00000121879 ENSG00000051382 ENSG00000105851 ENSG00000171608 ENSG00000145675 ENSG00000105647 ENSG00000117461 ENSG00000196455	EGF EGFR ERBB2 PIK3CA PIK3CB PIK3CG PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4	
